Segment,Support_Threshold,Baseline_Rules,Comparison_Rules,Common_Rules,Jaccard_Similarity,Baseline_Rules_Retained_Percentage
At Risk Regular,0.008,550,1032,550,0.5329457364341085,100.0
At Risk Regular,0.01,550,550,550,1.0,100.0
At Risk Regular,0.0125,550,236,236,0.4290909090909091,42.90909090909091
At Risk Regular,0.015,550,131,131,0.2381818181818182,23.81818181818182
Champions,0.008,927,1702,927,0.5446533490011751,100.0
Champions,0.01,927,927,927,1.0,100.0
Champions,0.0125,927,497,497,0.5361380798274002,53.61380798274003
Champions,0.015,927,262,262,0.2826321467098166,28.26321467098166
Hibernating Low Value,0.008,108,221,108,0.48868778280542985,100.0
Hibernating Low Value,0.01,108,108,108,1.0,100.0
Hibernating Low Value,0.0125,108,54,54,0.5,50.0
Hibernating Low Value,0.015,108,31,31,0.28703703703703703,28.703703703703702
Loyal High Value,0.008,839,1487,839,0.5642232683254875,100.0
Loyal High Value,0.01,839,839,839,1.0,100.0
Loyal High Value,0.0125,839,443,443,0.5280095351609059,52.80095351609059
Loyal High Value,0.015,839,271,271,0.3230035756853397,32.30035756853397
Recent Low Engagement,0.008,189,393,189,0.48091603053435117,100.0
Recent Low Engagement,0.01,189,189,189,1.0,100.0
Recent Low Engagement,0.0125,189,101,101,0.5343915343915344,53.43915343915344
Recent Low Engagement,0.015,189,57,57,0.30158730158730157,30.158730158730158
