Segment,Support_Threshold,Minimum_Invoice_Count,Frequent_Itemsets,Retained_Rules,Median_Confidence,Median_Lift,Maximum_Lift
At Risk Regular,0.008,25,1762,1032,0.5957446808510638,19.51667935058346,86.91313131313132
At Risk Regular,0.01,31,1150,550,0.585960591133005,18.83312850918935,72.67229729729729
At Risk Regular,0.0125,39,734,236,0.5660018993352327,16.423791195069946,71.3375
At Risk Regular,0.015,47,520,131,0.5543478260869565,12.553837175372045,42.98541666666667
Champions,0.008,58,2225,1702,0.5568706293706294,9.846789135286286,103.4913308913309
Champions,0.01,72,1372,927,0.5513307984790875,9.406536005414788,53.81352627257799
Champions,0.0125,90,861,497,0.5436507936507937,8.955002505039207,51.57319505384922
Champions,0.015,108,566,262,0.5269954539192727,8.48948778497704,39.8362750771605
Hibernating Low Value,0.008,11,847,221,0.5789473684210527,23.243034055727556,113.75
Hibernating Low Value,0.01,14,547,108,0.5513626834381551,18.0294245858762,58.1578947368421
Hibernating Low Value,0.0125,18,318,54,0.6729559748427674,18.79398266190719,42.954545454545446
Hibernating Low Value,0.015,21,233,31,0.7027027027027027,14.858980702622464,26.714818266542405
Loyal High Value,0.008,44,2020,1487,0.5714285714285714,12.194864163614163,98.08559670781894
Loyal High Value,0.01,55,1294,839,0.5585585585585585,10.716496764883862,70.0420226275687
Loyal High Value,0.0125,68,856,443,0.5460526315789473,10.116667730813434,52.665277777777774
Loyal High Value,0.015,82,603,271,0.5365853658536586,9.500478316326532,42.39613389910419
Recent Low Engagement,0.008,11,1280,393,0.5641025641025641,18.638509316770186,89.93406593406596
Recent Low Engagement,0.01,14,864,189,0.5384615384615384,17.084444444444447,42.98319327731093
Recent Low Engagement,0.0125,18,557,101,0.5428571428571428,15.73846153846154,37.714285714285715
Recent Low Engagement,0.015,21,409,57,0.546875,13.98974358974359,35.72380952380952
