Segment,Recommendation_Rank,Business_Objective,Antecedent_StockCodes,Antecedent_Products,Consequent_StockCodes,Consequent_Products,Recommendation,Support_Count,support,confidence,lift,leverage,Rule_Score,Recommended_Channel,Offer_Strategy,Priority
At Risk Regular,1,Prevent customer loss,22920,HERB MARKER BASIL,22919,HERB MARKER MINT,"When an invoice contains HERB MARKER BASIL, recommend HERB MARKER MINT.",43,0.013992840872111943,0.9772727272727273,66.73686868686869,0.013783169049812836,0.8566363636363636,Personalised email or direct campaign,Use previous product interests to create targeted reactivation bundles,High
At Risk Regular,2,Prevent customer loss,22920,HERB MARKER BASIL,22918,HERB MARKER PARSLEY,"When an invoice contains HERB MARKER BASIL, recommend HERB MARKER PARSLEY.",43,0.013992840872111943,0.9772727272727273,66.73686868686869,0.013783169049812836,0.8566363636363636,Personalised email or direct campaign,Use previous product interests to create targeted reactivation bundles,High
At Risk Regular,3,Prevent customer loss,"22918, 22919",HERB MARKER PARSLEY + HERB MARKER MINT,22920,HERB MARKER BASIL,"When an invoice contains HERB MARKER PARSLEY + HERB MARKER MINT, recommend HERB MARKER BASIL.",42,0.01366742596810934,0.9767441860465116,68.21670190274841,0.013467072893467972,0.8484545454545454,Personalised email or direct campaign,Use previous product interests to create targeted reactivation bundles,High
At Risk Regular,4,Prevent customer loss,"22698, 22699",PINK REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,22697,GREEN REGENCY TEACUP AND SAUCER,"When an invoice contains PINK REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER, recommend GREEN REGENCY TEACUP AND SAUCER.",81,0.026358607224210868,0.9204545454545454,20.203977272727272,0.025053982552127537,0.8389999999999999,Personalised email or direct campaign,Use previous product interests to create targeted reactivation bundles,High
At Risk Regular,5,Prevent customer loss,22917,HERB MARKER ROSEMARY,22916,HERB MARKER THYME,"When an invoice contains HERB MARKER ROSEMARY, recommend HERB MARKER THYME.",40,0.013016596160104133,1.0,69.8409090909091,0.012830221206949372,0.8313636363636363,Personalised email or direct campaign,Use previous product interests to create targeted reactivation bundles,High
At Risk Regular,6,Prevent customer loss,47590A,BLUE HAPPY BIRTHDAY BUNTING,47590B,PINK HAPPY BIRTHDAY BUNTING,"When an invoice contains BLUE HAPPY BIRTHDAY BUNTING, recommend PINK HAPPY BIRTHDAY BUNTING.",77,0.025056947608200455,0.8191489361702128,25.95097609124808,0.024091398277027096,0.8313636363636363,Personalised email or direct campaign,Use previous product interests to create targeted reactivation bundles,High
At Risk Regular,7,Prevent customer loss,47590B,PINK HAPPY BIRTHDAY BUNTING,47590A,BLUE HAPPY BIRTHDAY BUNTING,"When an invoice contains PINK HAPPY BIRTHDAY BUNTING, recommend BLUE HAPPY BIRTHDAY BUNTING.",77,0.025056947608200455,0.7938144329896907,25.95097609124808,0.024091398277027096,0.8253636363636363,Personalised email or direct campaign,Use previous product interests to create targeted reactivation bundles,High
At Risk Regular,8,Prevent customer loss,"22697, 22698",GREEN REGENCY TEACUP AND SAUCER + PINK REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER,"When an invoice contains GREEN REGENCY TEACUP AND SAUCER + PINK REGENCY TEACUP AND SAUCER, recommend ROSES REGENCY TEACUP AND SAUCER.",81,0.026358607224210868,0.8617021276595744,18.137059166423782,0.024905306169042716,0.8107272727272727,Personalised email or direct campaign,Use previous product interests to create targeted reactivation bundles,High
Champions,1,Retain and reward,22697,GREEN REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER,"When an invoice contains GREEN REGENCY TEACUP AND SAUCER, recommend ROSES REGENCY TEACUP AND SAUCER.",242,0.033690658499234305,0.825938566552901,16.950619210141394,0.031703081639559615,0.9539374325782093,VIP communication and premium campaigns,"Offer premium bundles, exclusive access, and personalised recommendations",Very High
Champions,2,Retain and reward,22698,PINK REGENCY TEACUP AND SAUCER,22697,GREEN REGENCY TEACUP AND SAUCER,"When an invoice contains PINK REGENCY TEACUP AND SAUCER, recommend GREEN REGENCY TEACUP AND SAUCER.",197,0.027425866629541974,0.8008130081300814,19.632217875079775,0.02602888403674205,0.9512405609492988,VIP communication and premium campaigns,"Offer premium bundles, exclusive access, and personalised recommendations",Very High
Champions,3,Retain and reward,23300,GARDENERS KNEELING PAD CUP OF TEA,23301,GARDENERS KNEELING PAD KEEP CALM,"When an invoice contains GARDENERS KNEELING PAD CUP OF TEA, recommend GARDENERS KNEELING PAD KEEP CALM.",192,0.026729778644020603,0.75,18.770905923344944,0.025305778185375855,0.9328748651564186,VIP communication and premium campaigns,"Offer premium bundles, exclusive access, and personalised recommendations",Very High
Champions,4,Retain and reward,"22697, 22699",GREEN REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,22698,PINK REGENCY TEACUP AND SAUCER,"When an invoice contains GREEN REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER, recommend PINK REGENCY TEACUP AND SAUCER.",175,0.024363079493247945,0.7231404958677685,21.11511456023651,0.02320925769305142,0.919093851132686,VIP communication and premium campaigns,"Offer premium bundles, exclusive access, and personalised recommendations",Very High
Champions,5,Retain and reward,84596F,SMALL MARSHMALLOWS PINK BOWL,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,"When an invoice contains SMALL MARSHMALLOWS PINK BOWL, recommend SMALL DOLLY MIX DESIGN ORANGE BOWL.",119,0.016566894055408603,0.8814814814814814,36.38897403150276,0.01611162169623007,0.9070658036677455,VIP communication and premium campaigns,"Offer premium bundles, exclusive access, and personalised recommendations",Very High
Champions,6,Retain and reward,23171,REGENCY TEA PLATE GREEN,23170,REGENCY TEA PLATE ROSES,"When an invoice contains REGENCY TEA PLATE GREEN, recommend REGENCY TEA PLATE ROSES.",115,0.01601002366699151,0.8984375000000001,39.8362750771605,0.015608128067164943,0.8997842502696871,VIP communication and premium campaigns,"Offer premium bundles, exclusive access, and personalised recommendations",Very High
